Verse,Meter,char_count,new_char_count,word_count,Stressed_Verse
but all the fame that from the field was brought,iambic,6,48,10,wswswswsws
it looks so like a fable,iambic,6,24,6,wswswsw
that verdant hill and silver stream,iambic,6,35,6,wswswsws
yon craggy mountain whose fastidious head,iambic,6,41,6,wswswswswsw
were spent upon the air the young elvera,iambic,6,40,8,wswswswswsw
a dread example to the rhyming fry,iambic,6,34,7,wswswswsws
our sketch all random strokes conjecture all,iambic,6,44,7,wswswswsws
thus thus i was for thee my sleep i lost,iambic,6,40,10,wswswswsws
dreadful stride from zone to zone,iambic,6,33,6,swswsws
will pay ere long and bless me with repose,iambic,6,42,9,wswswswsws
of injury with such knowledge of their strength,iambic,6,47,8,wswswwswsws
a spacious plain the false enchaunter show'd,iambic,6,44,7,wswswswsws
approach'd my bed magnificent her dress,iambic,6,39,6,wswswswsws
who noblest ends by noblest means pursue,iambic,6,40,7,wswswswsws
as when they wish you at the di,iambic,6,31,8,wswswsws
her eyes roll wild a stride her pace,iambic,6,36,8,wswswsws
and france still trembles at an harley's name,iambic,6,45,8,wswswswsws
and all is hush'd and winds are heard no more,iambic,6,45,10,wswswswsws
brisk thro' the thicket trips the spotted fawn,iambic,6,46,8,wswswswsws
while all the emulative vocal tribe,iambic,6,35,6,wswswswsws
to win the mercies of offended heaven,iambic,6,37,7,wswswswswsw
let me ne more myself deceive,iambic,6,29,6,wswswsws
and as the skilful pilot steers,iambic,6,31,6,wswswsws
this more insinuating notion lay,iambic,6,32,5,wswswswsws
alike insensible to soft desire,iambic,6,31,5,wswswswswsw
than he his plighted promise nould fulfill,iambic,6,42,7,wswswswsws
to vex the human race thou kindly deign'dst,iambic,6,43,8,wswswswsws
alike all foes to ev'ry publick gain,iambic,6,36,7,wswswswsws
come to the beaming god your hearts unfold,iambic,6,42,8,wswswswsws
i meditate my lightsome lay,iambic,6,27,5,wswswsws
the sacred object of his pious prayers,iambic,6,38,7,wswswswsws
and all was peaceful i remember well,iambic,6,36,7,wswswswsws
had my daddie left me gear enough,iambic,6,33,7,swswswsws
from home and native air,iambic,6,24,5,wswsws
ourselves the' astonish'd talkers and the tale,iambic,6,46,7,wswswwswsws
o wherefore with a rash imperfect aim,iambic,6,37,7,wswswswsws
pale envy flies her quiver slander breaks,iambic,6,41,7,wswswswsws
now high in air the fatal heel ascends,iambic,6,38,8,wswswswsws
observes the budding genius as it thrusts,iambic,6,41,7,wswswswsws
but leaves the wretch to weep,iambic,6,29,6,wswsws
yon ambient azure shell and spring to life,iambic,6,42,8,wswswswsws
no foreign heroes in triumphant cars,iambic,6,36,6,wswswswsws
but dreams of wand'ring thro' the fields of air,iambic,6,47,9,wswswswsws
love and love only is the loan for love,iambic,6,39,9,wswswswsws
no nourishment in frozen pastures grows,iambic,6,39,6,wswswswsws
to this strange place or by what pow'rful aid,iambic,6,45,9,wswswswsws
but had she known of melting words the charms,iambic,6,45,9,wswswswsws
sees every pass secur'd and fences whole,iambic,6,40,7,wsswswswsws
back to your universities ye fools,iambic,6,34,6,wswswswsws
that no rude savour maritime invade,iambic,6,35,6,wswswswsws
o i remember and with pride repeat,iambic,6,34,7,wswswswsws
an individual is a sacred mark,iambic,6,30,6,wswsswswsws
her softest shades grow sweetly meek,iambic,6,36,6,wswswsws
which to and fro with blessings speed,iambic,6,37,7,wswswsws
in doctrine uncorrupt in language plain,iambic,6,39,6,wswswswsws
this waste of musick is the voice of love,iambic,6,41,9,wswswswsws
the angry goddess seiz'd her deathful arms,iambic,6,42,7,wswswswsws
haste with redoubled speed bring on the hour,iambic,6,44,8,wswswswswsw
and fear and ignorance afford delight,iambic,6,37,6,wswswswsws
rolls its light billows o'er the bending plain,iambic,6,46,8,wswswswsws
masking in cunning feints truth's splendent face,iambic,6,48,7,sswswswsws
or if to make their party great,iambic,6,31,7,wswswsws
which made the prospect more amazing sad,iambic,6,40,7,wswswswsws
and laughter sounds like madness in his ear,iambic,6,43,8,wswswswsws
or from the towering precipice is thrown,iambic,6,40,7,wswsswswsws
books or the world the many or the few,iambic,6,38,9,wswswswsws
these to the raptur'd mind aloud proclaim,iambic,6,41,7,wswswswsws
rejoicing with her lovely captive came,iambic,6,38,6,wswswswsws
no sorrowing friend no sister parent nigh,iambic,6,41,7,wsswswswsws
he too beholding in the sacred light,iambic,6,36,7,wswswswsws
still on each cheek the bloom of youth appears,iambic,6,46,9,wswswswsws
distance steps back and drags the chain no more,iambic,6,47,9,swswswswsw
as swells the beldame's teeming brain,iambic,6,37,6,wswswsws
by what unseen and unsuspected arts,iambic,6,35,6,wswswswsws
we give to time eternity's regard,iambic,6,33,6,wswswswsws
there chastity may boast of many a friend,iambic,6,41,8,wswswswswsw
and to his radiant father's pallace came,iambic,6,40,7,wswsswswsws
bend on the hallow'd turf the tearful eye,iambic,6,41,8,wswswswsws
with us our parents children lovers laws,iambic,6,40,7,wswswswsws
bespoke at least a man that knew mankind,iambic,6,40,8,wswswswsws
for inborn goodness with soft pity join'd,iambic,6,41,7,wswswswsws
a rose that faded at the rising day,iambic,6,35,8,wswswswsws
arise for loaden with the midnight dew,iambic,6,38,7,wswswswsws
but hail fair peace so mild and meek,iambic,6,36,8,wswswsws
had to theanor thus her form been shown,iambic,6,39,8,swswswsws
and infinite benevolence,iambic,6,24,3,wswswsws
scowling contempt how pitiful this pride,iambic,6,40,6,sswswswsws
before the thrills of farinelli's voice,iambic,6,39,6,wswswswsws
think of the common cause wherein we go,iambic,6,39,8,wswswswsws
of tyranny aveng'd and liberty restor'd,iambic,6,39,6,wswswswswsws
advance slowpacing from the gilded west,iambic,6,39,6,wswswswsws
the vanquish'd bird must combat till he dies,iambic,6,44,8,wswswswsws
'they breathe a soul to animate thy clay,iambic,6,40,8,wswswswsws
you should live twice in it and in my rhyme,iambic,6,43,10,wswswswsws
as the base wretch or vain physician please,iambic,6,43,8,wswswswsws
when in the circuit of his gaping shells,iambic,6,40,8,wswswswsws
and here to smooth captivity a prey,iambic,6,35,7,wswswswsws
with our expenditure defrays his own,iambic,6,36,6,wswswswsws
are then divorced the head and heart are foes,iambic,6,45,9,wswswswsws
as many words as make an even line,iambic,6,34,8,wswswswsws
she gives the pow'r whatever side prevails,iambic,6,42,7,wswswsswsws
which erst adorn'd her artless grove,iambic,6,36,6,wswswsws
invoke thy muse and hail thy song sublime,iambic,6,41,8,wswswswsws
let me in grateful notes renew,iambic,6,30,6,wswswsws
if by his art the savage foe's subdu'd,iambic,6,38,8,wswswswsws
falls a soft murmur on th' uninjured ear,iambic,6,40,8,wswswswswsw
apelles left his name at co,iambic,6,27,6,wswswsw
for tho' the wise priscilla often strove,iambic,6,40,7,wswswswsws
as not to love at all 'tis not to live,iambic,6,38,10,wswswswsws
and to a life more happy and refin'd,iambic,6,36,8,wswswswsws
and there renew their interrupted love,iambic,6,38,6,wswswswsws
ev'n to jehovah's throne the ductile mind,iambic,6,41,7,wswswswsws
there gain'd admittance and the infant press'd,iambic,6,46,7,wswswswsws
when heaven to all thy joys bestows,iambic,6,35,7,wsswswsws
he gives the local biass all its sway,iambic,6,37,8,wswswswsws
resplendent all thro' fluid glass,iambic,6,33,5,wswswsws
but happy they the happiest of their kind,iambic,6,41,8,wswswswswsw
sincerity why 'tis his only pride,iambic,6,33,6,wswswswsws
chloe's the goddess of my thought,iambic,6,33,6,sswswsws
hoary fidelity a matron staid,iambic,6,29,5,wswswswsws
she to the subject world dispenses law,iambic,6,38,7,wswswswsws
to me his sighs to me are all his vows,iambic,6,38,10,wswswswsws
shou'd lovely venus leave her native sky,iambic,6,40,7,wswswswsws
peace its ten thousands in th' embattled plain,iambic,6,46,8,wswsswswsws
unhappy he who from the first of joys,iambic,6,37,8,wswswswsws
and not a sail but by permission spreads,iambic,6,40,8,wswswswsws
around her shakspeare's hallow'd tomb,iambic,6,37,5,wswswsws
the floods in icy fetters binds,iambic,6,31,6,wswswsws
what hideous spectres round him rise,iambic,6,36,6,wsswswsws
gone to salute the rising morn,iambic,6,30,6,wswswsws
a wanton vixen and a weary man,iambic,6,30,7,wswswswsws
the forestwalks at every rising gale,iambic,6,36,6,wswswsswsws
the pain is just when we reject the cure,iambic,6,40,9,wswswswsws
of innocence and undissembling truth,iambic,6,36,5,wswswswsws
sure 'tis a curse on mothers doom'd to mourn,iambic,6,44,9,wswswswsws
brown exercise rejoic'd to hear,iambic,6,31,5,wswswswsw
she fairest offspring of the skies,iambic,6,34,6,wswswsws
untill by you,iambic,6,13,3,wsws
and bacchanals led on their swift advancing doom,iambic,6,48,8,wsswswwswsws
of all besides unknowing and unknown,iambic,6,36,6,wswswswsws
far with the loves each blissful omen speeds,iambic,6,44,8,wswswswsws
the mimic passion with their own agree,iambic,6,38,7,wswswswsws
bestia and bug their honours and so forth,iambic,6,41,8,wswswswsws
to make the last effort what tears could do,iambic,6,43,9,swswswswsw
and the still spirits sunk in balmy rest,iambic,6,40,8,wswswswsws
opinion's foot is never never found,iambic,6,35,6,wsswswswsws
shunning his steps decrees by honour taught,iambic,6,43,7,sswswswsws
they grasp his feeble frame his tresses tear,iambic,6,44,8,wswswswsws
but anxious only for my country's good,iambic,6,38,7,wswswswsws
yet grateful then my constancy i prov'd,iambic,6,39,7,wswswswsws
suppose philander's lucia's or narcissa's,iambic,6,41,5,wswswswswsw
the skittish fancy with facetious tales,iambic,6,39,6,wswswswsws
and art by judgment form'd with nature vies,iambic,6,43,8,wswswswsws
thro' shades and plains along the smoothest stream,iambic,6,50,8,wswswswsws
when time shall cease ev'n beauty's self by these,iambic,6,49,9,wswswswsws
abash the frantic thyrsus with my song,iambic,6,38,7,wswswswswsw
unable to withstand a claim so urg'd,iambic,6,36,7,wswswswsws
and shock'd poor florio's nicer sense,iambic,6,37,6,swswswsws
but there is one soft minute when the mind,iambic,6,42,9,wswswswsws
not to be making circles in the sand,iambic,6,36,8,wswswswsws
if chance the peacock doth his plumes unfold,iambic,6,44,8,wswswswsws
depart from me and that for ever too,iambic,6,36,8,wswswswsws
revere the laws they dream that heav'n ordains,iambic,6,46,8,wswswswsws
by me no orphan weeps his ravish'd land,iambic,6,39,8,wswswswsws
who bade the visionary landscape rise,iambic,6,37,6,wswswswsws
'till angels listen to the song,iambic,6,31,6,wswswsws
holy guide descend and bring,iambic,6,28,5,swswsws
that noblest commerce of mankind,iambic,6,32,5,wswswsws
from you ye heavenbelov'd may liberty,iambic,6,37,6,wswswsswsws
there sickness laid her aching head,iambic,6,35,6,wswswsws
to such extreme fatigue sunk lifeless down,iambic,6,42,7,wswswswsws
mote eath a mortal to immortal feed,iambic,6,35,7,wswswswsws
who spoil the lily rob the rose,iambic,6,31,7,wswswsws
careful to see the mantling bliss go round,iambic,6,42,8,wswswswsws
conforms and models life to that alone,iambic,6,38,7,wswswswsws
and in small plats were softer myrtles plac't,iambic,6,45,8,wswswswsws
as the lov'd form while folded to her breast,iambic,6,44,9,wswswswsws
by rills from thee deduc'd irriguous fed,iambic,6,40,7,wswswswswsw
and how the vaulted canopies unfold,iambic,6,35,6,wswswswsws
where altering scenes the fickle merman please,iambic,6,46,7,wswswswsws
lo beauty withers in your void imbrace,iambic,6,38,7,wswswswsws
and none none left to bear a friendly part,iambic,6,42,9,wswswswsws
a voice descending from on high,iambic,6,31,6,wswswsws
foul fiend thou bane of health fair virtue's bane,iambic,6,49,9,wswswswsws
no guilt so black as thine belongs,iambic,6,34,7,wswswsws
enrich'd with the discoveries ye have made,iambic,6,42,7,wswswswswsw
who liv'd unhappily and greatly dy'd,iambic,6,36,6,wswswswsws
soon would thy folly disconcert the whole,iambic,6,41,7,wswswswsws
whose faithful clue unravels ev'ry muse,iambic,6,39,6,wswswswsws
that feebly bends beside the plashy spring,iambic,6,42,7,wswswswsws
life's sun we read when heaven a respite lends,iambic,6,46,9,wswswsswsws
inspires each youthful candidate for fame,iambic,6,41,6,wswswswsws
just to themselves their conduct is entire,iambic,6,42,7,wswswswswsw
for fear that you might their black deeds excel,iambic,6,47,9,wswswswsws
but verse methought would suit these better,iambic,6,43,7,swswswsws
which while they raise the passions mend the mind,iambic,6,49,9,wswswswsws
thy creature whom i found so fair,iambic,6,33,7,wswswsws
and speaks in all their looks and all their ways,iambic,6,48,10,wswswswsws
then having viewed it with disdainful eyes,iambic,6,42,7,wswswswsws
is but to ease my mind,iambic,6,22,6,wswsws
and steady justice holds th' impartial scales,iambic,6,45,7,wswsswswsws
to all the transport the rapt sense can bear,iambic,6,44,9,wswswswsws
innumerous o'er the blushing orchard shakes,iambic,6,43,6,wswswwswsws
in lycon's form enflam'd with passion high,iambic,6,42,7,wswswswsws
to rule at once the captive fair,iambic,6,32,7,wswswsws
thus let us gently kiss and fondly gaze,iambic,6,39,8,wswswswsws
o well thy form divine i know,iambic,6,29,7,wswswsws
and stay his arm outstretch'd to launce the avenging fire,iambic,6,57,10,wswswswswsswsw
some metaphors some hankerchiefs display,iambic,6,40,5,wswswswsws
three tedious days with pinching want he strove,iambic,6,47,8,wswswswsws
to sacred music ow'd its destin'd fall,iambic,6,38,7,wswswswsws
worthy to sing thy praise for that thy hand,iambic,6,43,9,swswswswsw
tutor'd by all her rivals to surpass,iambic,6,36,7,wswswswsws
while all the sons of freedom shrunk with fear,iambic,6,46,9,wswswswsws
short tho' they were my soul had never known,iambic,6,44,9,wswswswsws
of england's throne by sweating peasants fell'd,iambic,6,47,7,wswswswsws
commence acquaintance underneath a shed,iambic,6,39,5,wswswswsws
such antique marbles to his native land,iambic,6,39,7,wswswswsws
thy sports are fled and all thy charms withdrawn,iambic,6,48,9,wswswswsws
some pleasures live a month and some a year,iambic,6,43,9,wswswswsws
denoting thought inflam'd and troubled breast,iambic,6,45,6,wswswswsws
daughter of joy i know thy air,iambic,6,30,7,swswswsw
like will and mary on the coin,iambic,6,30,7,wswswsws
i hap'ly plac'd him with providing care,iambic,6,39,7,wswswswsws
the wand with which e'er time begun,iambic,6,35,7,wswswsws
ten thousand glittering lamps the skies adorning,iambic,6,48,7,wswsswswswsw
the fam'd and only picture easy gives,iambic,6,37,7,wswswswsws
none wou'd fierce zeal for piety mistake,iambic,6,40,7,wswswswsws
she's drawn along unwilling to be seen,iambic,6,38,7,wswswswsws
and bliss which christian schemes alone insure,iambic,6,46,7,wswswswsws
repents its earlier choice,iambic,6,26,4,wswswsw
shoots to its goal and gleams athwart the sky,iambic,6,45,9,wswswswsws
and what a various prospect lies around,iambic,6,39,7,wswsswswsws
mean while blind british bards with volant touch,iambic,6,48,8,wswswswsws
and fate at memphis was unravell'd,iambic,6,34,6,wswswswsw
hopeless to overcome,iambic,6,20,3,sswsws
gain what they can but never force a trade,iambic,6,42,9,wswswswsws
'forsake mankind and bid the world adieu,iambic,6,40,7,wswswswsws
to him direct the tribute lay,iambic,6,29,6,wswswsws
and robes and notions framed in foreign looms,iambic,6,45,8,wswswswsws
upon thy side against myself ill fight,iambic,6,38,7,wswswswsws
yet shall its musick please the partial ear,iambic,6,43,8,wswswswsws
impatient still on each the pregnant dame,iambic,6,41,7,wswswswsws
and books were bought and harpsichords were hired,iambic,6,49,8,wswswswswsw
infinite skill in all that he has made,iambic,6,38,8,swswswswsw
let judgment thy unshaken friend,iambic,6,32,5,wswswsws
with all the finny race,iambic,6,23,5,wswsws
' near where the haystack lifts its snowy head,iambic,6,46,9,wswswswsws
at morning's dawn her lord commands,iambic,6,35,6,wswswsws
such is the secret union when we feel,iambic,6,37,8,wswswswsws
here glory beckon'd mighty chiefs of old,iambic,6,40,7,wswswswsws
and nature mov'd compleat with inward view,iambic,6,42,7,wswswswsws
coquettes no more pursue the jilting plan,iambic,6,41,7,wswswswsws
till grown more frugal in his riper days,iambic,6,40,8,wswswswsws
he sells protection witness at his foot,iambic,6,39,7,wswswswsws
lycaean pan the faun's arcadian race,iambic,6,36,6,wswswswswsw
that trump which once in heaven on man's revolt,iambic,6,47,9,wswswsswsws
which hover yet and scarce know which to joyn,iambic,6,45,9,wswswswsws
lorenzo thou hast seen if thine to see,iambic,6,38,8,wswswswsws
on this fair pattern of a god below,iambic,6,35,8,wswswswsws
and dauntless meet the ling'ring stroke of death,iambic,6,48,8,wswswswsws
his heav'nly smiles would ev'n despair control,iambic,6,46,7,wswswswsws
why should my heart think that a several plot,iambic,6,45,9,wswswswsws
and every colony has dropt a tear,iambic,6,33,7,wsswswswsws
if there is weight in an eternity,iambic,6,33,7,wswswswsws
and now in courtly garments dight,iambic,6,33,6,wswswsws
among the mightiest on the brightest roll,iambic,6,41,7,wswswswwsws
fear or inconstancy the judgment press,iambic,6,38,6,wswswswsws
redletter'd in the calendar of play'rs,iambic,6,38,6,swswwswsws
accompany his route and to his toil,iambic,6,35,7,wswswswsws
what is this wreath so green so fair,iambic,6,36,8,wswswsws
dwell on his eye and wait the waving hand,iambic,6,41,9,wswswswsws
wild with her loss and swoln with sorrow came,iambic,6,45,9,wswswswsws
led on by silence to resume her reign,iambic,6,37,8,wswswswsws
for other's bliss for other's woe,iambic,6,33,6,wswswsws
tenderey'd pity as the village train,iambic,6,36,6,wswswswsws
o might our laureat study here,iambic,6,30,6,wswswsws
