Verse,Meter,Stressed_Verse
and with that to jove's palace she run,anapaestic,wswswswsw
i think 't is thy voice that i hear in the breeze,anapaestic,wswswswwswsw
this struck them all silent which gave me some ease,anapaestic,wswwswswsws
when satire and censure encircled his throne,anapaestic,wsswswswswsw
as she may not be fond to resign,anapaestic,swswswsws
so the curse of these monsters is truly dissolved,anapaestic,wwswwswswsws
and where are her grots and her bow'rs,anapaestic,wswswsws
then chaucer and spenser harmonious were heard,anapaestic,wswswswsswsw
for they are not ill founded or you feel the same,anapaestic,wswswswswsws
could bribe for one lock with its riches,anapaestic,wswswswsw
what pleasure to think as the last is receding,anapaestic,wsswswswswsw
when twa brisk young callans and baith i' our prime,anapaestic,swswsswswsw
this surveyed,anapaestic,wsw
chuse books for her study to fashion her mind,anapaestic,swswsswswsw
by learning made humble not thence taking airs,anapaestic,wswsswswsws
ah me what delights in my bosom would rise,anapaestic,swswswwswsw
the warblers sat listening around on the spray,anapaestic,wswswwswswsw
and if ages to come should resemble the past,anapaestic,wwswswswswsw
but at noon all was o'er when intrepid and bold,anapaestic,wswswwswswsw
at the end the blind man with the bow cross his chair,anapaestic,wswswswwswsw
the wars are all o'er and my harry's at hame,anapaestic,wswswswswsw
gods most beautiful creatures of angels help me,anapaestic,swswswswswsw
before such pursuers the nice virgin flies,anapaestic,wswsswswsws
that's fitted to lighten the labours of life,anapaestic,wsswsswswsw
she tells him her husband was wretchedly poor,anapaestic,wswswswswsw
and rifle the sweets of their bed,anapaestic,wswswsws
like him tho' they cannot complain,anapaestic,wswswsws
thy breath to eliza's hath no fragrance in't,anapaestic,swswswswssw
some reflections on death and its terrors untry'd,anapaestic,swswswswssws
the atrocities bared on my face in display,anapaestic,swsswswswsws
for beauty like yours no assistance can need,anapaestic,wswswswswsw
if the wet hath not damag'd the string of my bow,anapaestic,wswswsswswsw
come join all ye nymphs of the grove,anapaestic,wswswsws
as you hope to be blest in your children and wife,anapaestic,wswswswwswsw
o colin receive me she cried,anapaestic,wsswswsw
and all nature lies quiet and still,anapaestic,wwsswswsw
away skipp'd the urchin as brisk as a bee,anapaestic,wswswswswsw
sir jove when he heard her thus rage,anapaestic,wswswsws
ye virgins be sportive and gay,anapaestic,wswswsws
be immediately furnish'd to end their restraint,anapaestic,swswswswswsws
in his richmond's bright villa surveys,anapaestic,swswswsws
of the horrors and trials my soul has survived,anapaestic,wwswswswsws
theyre all bassackwards cuz,anapaestic,sswswsw
and betray'd his own life by surrend'ring the crown,anapaestic,swswswswswsw
i was flayt they wad hinder fwok hear aw the speeching,anapaestic,wswswswswswsws
i heard the soft words that he sung,anapaestic,wswswsws
'till he's tired and panting for breath,anapaestic,wwsswswsw
i loath the lewd rake the dress'd fopling despise,anapaestic,wswswswssws
i'm the proudest of creatures with speed of a bird,anapaestic,wwsswswswsws
where none but an eccho,anapaestic,wswwsw
who in dress and in visits employs the whole day,anapaestic,wswswsswswsw
where the woodbine and jess'mine their boughs interweave,anapaestic,wwswswwswsws
soon or late we all know he must sweep our abode,anapaestic,wswswswswsws
as your topic than these is much better,anapaestic,swswswswsw
and one was safe and asleep in his bed,anapaestic,swswswswsw
i expect not a place nor hope for a pension,anapaestic,swswwswswwsw
the pleasing sensations that glow'd in her heart,anapaestic,wswswswswsw
such sorrows of youth are but pearls of the morn,anapaestic,wswswswswsw
at twelve you may walk for at this time o' the year,anapaestic,wswwswswswsw
that shook when he laughed like a bowlful of jelly,anapaestic,wswswswswsww
and will sing to my lass with the golden locks,anapaestic,wswswswwsws
my problem with glutens the matter,anapaestic,wswswswsw
and wish'd she could ease his distress,anapaestic,wswswsws
'o mary prepare thee to die',anapaestic,wsswswsw
unchang'd by the rigors of fate,anapaestic,wswwswsw
and the imagery seen in a free verse unbound,anapaestic,wwsswswswsws
ere he met the fair chloris how sprightly his lay,anapaestic,wswswswsswsw
the bible was brought and laid out on the table,anapaestic,wswswswswwsw
where i fed on the smiles of my dear,anapaestic,swswswsws
and harlequin too 'twas in vain to require it,anapaestic,wswswswswwssw
how alluring the innocent eye,anapaestic,swsswswsw
she tried to reply but in vain while her sobs,anapaestic,swswswwswsw
then my pictures with words replaced those done thru art,anapaestic,wswswswswsww
while girt fwok they ride down my hedges,anapaestic,swswswswsw
if he bear but a relique away,anapaestic,swswswsws
but from rubs in their way that your honour has laid,anapaestic,wwswswswswsw
how the verses run easy and glibly along,anapaestic,wwswswswssws
if she fighs as i sigh if she mourns as i mourn,anapaestic,wswswswwswsw
tho' his life was in danger old port and stale beer,anapaestic,wswswswswsws
his affection each swain now behold,anapaestic,swswswsws
we harden like trees and like rivers grow cold,anapaestic,wswswswswsw
tis the day after christmas the house is a mess,anapaestic,wswswsswswsw
i may thither in safety retire,anapaestic,swswswsws
sure to taste sweetly is that poison too,anapaestic,wswswswsws
for by day and by night with the woman you wed,anapaestic,wswswswwswsw
and myself might have tarried my wines to unlade,anapaestic,wsswwswswsws
and excuse that i aim not to point out the place,anapaestic,swswwswwswsw
which the fowler has caught in his snares,anapaestic,swswswsws
it would quickly be gone,anapaestic,wwswsw
so we cuss as we scurry we snort and stampede,anapaestic,wwswwswswsws
in a thousand fine whimsies a thousand fine ways,anapaestic,wwswswswswsw
those beggarly muses but come for a curse,anapaestic,wsswswswsws
but why i'm so wretched my friend must rehearse,anapaestic,wswwswswsws
to put slander within my mind,anapaestic,wswswsws
and who can resist when they doubly delight,anapaestic,wswswswssws
the bus'ness is done if with him you prevail,anapaestic,wswswswwsws
at the bloody work they would look upon,anapaestic,swsswswsws
takes them all for his pattern,anapaestic,wswswsw
when tax'd with imposture the charge he'll evade,anapaestic,swswswswsws
so graceful her form so accomplish'd her mind,anapaestic,wswswswswsw
so our resolute neophyte meets with the names,anapaestic,wwswsswswsws
has begun by inspiring saphira and you,anapaestic,wswswsswswsw
her beautiful eyes as they roll or they flow,anapaestic,wswswswswsw
then after that bout they went on to another,anapaestic,wswswwswswsw
here i liv'd like a king never hoarded my pelf,anapaestic,wwswswswswsw
that whenever the nose put his spectacles on,anapaestic,swswswswswsw
and to party gave up what was meant for mankind,anapaestic,wwswswswswsw
and pleas'd with his playing so well,anapaestic,wswwswsw
when the leaves from the trees are begun to be shed,anapaestic,wswswswsswsw
and now my gay comrades the myrtle and vine,anapaestic,wswswswswsw
but the master of emmanuel,anapaestic,swswswsws
and then with a look i shall never forget,anapaestic,wswswswssws
thy gothic cathedral new homage still claims,anapaestic,wswswswswsw
the assyrian came down like the wolf on the fold,anapaestic,swsswswwswsw
thati ridge is anchovy andk reynolds is lamb,anapaestic,sswswsswswsw
i shall soon make her know so i shall,anapaestic,swswswsws
together we range o'er the slow rising hills,anapaestic,wsswswswsws
the sun sets in night and the stars shun the day,anapaestic,wswswswswsw
the sun like your wit is as mild as 'tis clear,anapaestic,wswswswswsw
whose kindness can sooth me whose counsel can guide,anapaestic,wswswswswsw
thus love has shown norah the feints of high station,anapaestic,swswswswswsw
i find myself stymied by words to allow,anapaestic,wswswwswsws
dominion and wealth are the aim of all three,anapaestic,wswswswswsw
how easy was colin how blithe and how gay,anapaestic,wswswswswsw
bid them be of good cheer the disease was not catching,anapaestic,wswwswswswwsw
to set off what already is best,anapaestic,wswswswsw
who no pangs of ambition or love had e'er felt,anapaestic,wswswsswswsw
with garlands of every flower,anapaestic,wsswsswsw
tho' equal to all things for all things unfit,anapaestic,wswswswwsws
their aid is in vain for what can they do,anapaestic,wswswswsws
ye kenricks ye kellys and woodfalls so grave,anapaestic,wswswswswsw
to the delicate growth of our isle,anapaestic,swswswsws
he hath promis'd that i shall enlighten your brain,anapaestic,wwswswswswsw
next the shades of mild evening close gently around,anapaestic,wswswswswsws
by avoiding of every temptation,anapaestic,swsswswswsw
flakes of ice that she finds in the cream,anapaestic,swswswsws
and not like young rakes who 're in haste to inherit,anapaestic,wswswswswswsw
so that voices in whispers are known,anapaestic,wwsswswsw
and of love the dear mischief beware,anapaestic,swswswsws
that sages have seen in the face,anapaestic,wswswsws
and wherever i am within night or daydreams,anapaestic,swsswswswsww
what nature alas has denied,anapaestic,wswswsws
and be cheer'd by the fallies of youth,anapaestic,wswswswsw
whilst the mice and the birds fled in fright,anapaestic,swswswsws
i had almost compleated my list with the king,anapaestic,wswswsswswsw
are sunk in their credit and verging on ruin,anapaestic,wswwswswswsw
talk of fairies and witches that ride on the wind,anapaestic,swsswsswswsw
but the warbling of birds which in stretching their throats,anapaestic,wwswswswwswsw
i was lost as the night wrapped its ebony shades,anapaestic,wwswswswswsw
we heap up in sin and in sorrow,anapaestic,wswswswsw
o ho quoth the knight with a look most profound,anapaestic,wswswswswsw
with danger so little with honour so much,anapaestic,wswswswswsw
then he said 'good night' and with muffled oar,anapaestic,wswswswsws
as wide as the ridge of the nose is in short,anapaestic,wswswswswsw
when six days of labour each other succeeding,anapaestic,swswsswsswsw
ah nought but her presence can bring me relief,anapaestic,wswwswswsws
but if he has fought and has fallen my love,anapaestic,wswswswswsw
'tis a dark rainy night and i'm wet to the skin,anapaestic,wswswswwswsw
we'd slack reape and tight reape and dogs that wer dancin,anapaestic,wswswswswssw
'tis time to conclude for i make it a rule,anapaestic,wswswswswsw
he mark'd on his elegant strain,anapaestic,wswwswsw
that he was a dotard is granted i hope,anapaestic,swswsswswsw
and my solace wherever i go,anapaestic,wwsswswsw
after hubby retired as the chief of fd,anapaestic,swsswswswsws
'tis apparent from thence that the moderns excel,anapaestic,swsswswwssws
by these roisters who boast of cadwalladar's blood,anapaestic,wwsswswswsws
no sunbeam returning no spring ever gay,anapaestic,wswsswswsws
the bottle affords us a glimpse through the gloom,anapaestic,wsswswswsws
'twas hung round with woodbine my jessy had planted,anapaestic,wswswswsswsw
i fear'd that her charms would beguile,anapaestic,wswswsws
than conning your rentrolls and raising your fines,anapaestic,wswswswswsw
by riches endeavours to prove,anapaestic,wsswswsw
the statesman who steers by wise machiavel's rules,anapaestic,wswswswsswsw
and filled all the stockings then turned with a jerk,anapaestic,wswwswswsws
low hung the dark clouds on plinlimmon's tall peak,anapaestic,wswswswswsw
but till this astonishing creature i know,anapaestic,swswsswswsw
its day oft in sorrow declines,anapaestic,swswssws
may the herds cease to lowe and the lambkins to bleat,anapaestic,wswswswwswsw
that i leap'd up in raptures when lo 'twas a dream,anapaestic,wwswwswswsws
let us welcome the season and taste of that bliss,anapaestic,wswswswswsws
from a borough in cornwall receiv'd invitation,anapaestic,wwswswswsswsw
not my fields in the prime of the year,anapaestic,swswswsws
where liv'd mr sutton pipemaker by trade,anapaestic,swswswswsws
seem grac'd with a livelier hue,anapaestic,wswwswsw
so simple yet sweet were her charms,anapaestic,wswswsws
glowing warm kindling bright for my choices to see,anapaestic,sswswswwswsw
how safe shou'd i be had i both of them on,anapaestic,wswswswswsw
the goddess will visit you soon,anapaestic,wsswswsw
then the lily no longer is white,anapaestic,wwsswswsw
may his bairns be as honest as he's been,anapaestic,wswswswsws
i have found out a gift for my fair,anapaestic,swswswsws
ye winds that have made me your sport,anapaestic,wswswsws
there hov'ring around until morning remain,anapaestic,wswsswswsws
do you deign to reply just to prop up your self pride,anapaestic,wswswswswswsw
poor shepherd he wildly exclaim'd,anapaestic,wswswsws
but what did he do this esteem to acquire,anapaestic,wswswswswsww
your friend would be very much mended in troth,anapaestic,swswsswswsw
ne'er scruples a neighbouring realm to o'errun,anapaestic,wswswswswsw
and gilds every dream with delight,anapaestic,swswswsws
you did not my passion disdain,anapaestic,wswwssws
for quadrille when the fair,anapaestic,wswsws
since poets are prophets and often have sung,anapaestic,wsswswswsws
must be a good drap if it kept you so dry,anapaestic,wswswswswsw
who while he talk'd gravely would hold forth his hand,anapaestic,wwswswswsws
ah say will ye fade from my eye,anapaestic,wswswsws
should she play with her lapdog 'twould give him such pain,anapaestic,wwswwswswswsw
nor baited again 'till we reach'd holyhead,anapaestic,wsswswswsws
at length he exclaimed from the field of renown,anapaestic,swswswswsws
the master of catherine,anapaestic,wsswsws
and dismiss with an honest disdain,anapaestic,swswwssws
nowther king lword nor bishop dar touch thee,anapaestic,swswswsswsw
howe'er it was civil in angel or elf,anapaestic,swswsswswsw
and for more than a year with their parents they'll stay,anapaestic,wswswswwswsw
and deck'd the sod seats at her door,anapaestic,wswswsws
for who would not give all he had,anapaestic,wswswsws
apollo hath quitted the isle he once lov'd,anapaestic,wsswswswsws
would conquer more hearts,anapaestic,wswsw
her vermillion is chang'd to a dull settled red,anapaestic,wswswswswssw
then her eyes he commended in language well drest,anapaestic,wswswswsswsw
have you lost e'er a lamb or a sheep,anapaestic,swswswsws
the sailors all hurried to get absolution,anapaestic,wsswswswswsw
than to lay down your life for your friend,anapaestic,swswswsws
with a clean tho' coarse shirt ev'ry day in the year,anapaestic,wwswswswswsw
let death be felt and the proof remain,anapaestic,swswswsws
his friend ran to see whats the matter,anapaestic,wswswswsw
a lady sent lately to one doctor drug,anapaestic,wsswswswsws
but i'd have thy advice ere i tye myself to her,anapaestic,wswswswswssww
if your father were out their conge's would end,anapaestic,swswswswsw
now take all my jewels gorge gold to your fill,anapaestic,wswswswsws
tho' much they discours'd the long way to beguile,anapaestic,swswswswsws
were greater his talents you might ever command,anapaestic,wsswswswssws
i fear'd for your safety i fear'd for my own,anapaestic,wswwswswsws
our wishes shou'd be in our keeping,anapaestic,wswswswsw
not scrup'lous but honest a heart set on gain,anapaestic,wsswswswsws
full well i know her and her arts,anapaestic,wswswsws
or heedless despise they or pity the clown,anapaestic,wswswswswsw
whom some shepherd neglecting his vows had betray'd,anapaestic,wwsswswswsws
lord help te sud beggars yence rule us,anapaestic,swswswsws
whether this was the cause or however inspir'd,anapaestic,swswwswsswsw
pastora by chance hasten'd by,anapaestic,wswswsws
each shepherd the loss shall deplore,anapaestic,wswswsws
now dasher now dancer now prancer and vixen,anapaestic,wsswswswswsw
his pencil our faces his manners our heart,anapaestic,wswswswswsw
o soothe him whose pleasures like thine pass away,anapaestic,wswwswswsws
let them do what they would they were sure of a scolding,anapaestic,wswswswwswwsw
my sad eyes saw in fact that my poem had not won,anapaestic,wswswswwsswsw
or all that this earth can afford,anapaestic,wswswsws
ye virgins her voice was divine,anapaestic,wswswsws
ah my strephon twas thus the fair mourner begun,anapaestic,wwswswswswsw
but chiefly for use and a little for state,anapaestic,wswswswswsw
the blessings of autumn to share,anapaestic,wsswswsw
and the sleepy dull clown who sits nodding just by,anapaestic,wwswswswswsw
that they shall not be weary when set by my side,anapaestic,wswswsswswsw
each hour he employ'd for his dear,anapaestic,wswswswsw
a jolly brave toper who cou'd not forbear,anapaestic,wsswswswsws
this i know phoebe ne'er such a true love will find,anapaestic,wswswswwswsw
from the noise of the town to the stream and the wood,anapaestic,wswswswwswsw
since thus it must be since our summers must fade,anapaestic,wswswswswsw
and to think with what kindness my garland she view'd,anapaestic,wswswswsswsw
away to the window i flew like a flash,anapaestic,wswwswswsws
though wiser than nestor,anapaestic,wsswsw
how oft would he speak of his bliss,anapaestic,wswswsws
but see none to create so much love and surprize,anapaestic,wswswswswsws
ye lawyers so just who with slippery tongue,anapaestic,wswswswswsw
i am sometimes uneasy but never quite vex'd,anapaestic,wswswswswwsw
oh had i the wings of a dove,anapaestic,wswswsws
on the banks of that crystalline stream,anapaestic,wswswswsw
in retirement he sigh'd for the famegiving chair,anapaestic,swswswswwswsw
when nought but the torrent is heard on the hill,anapaestic,wswwswswsws
with roses and hiacynths fair,anapaestic,wsswswsw
but through it there rolled not the breath of his pride,anapaestic,wswswswswsw
in a prayer anapestic,anapaestic,wwswsw
that the church in the marriage of prelates was bless'd,anapaestic,wswswsswswsw
where lost in the past nor regarding tomorrow,anapaestic,wswswswswsww
and eyes that gave light to the plain,anapaestic,wswswsws
my lady's broad hints and the jests of my lord,anapaestic,wswswswswsw
thou reprobate mortal why dost not thou know,anapaestic,wsswswswsws
at last the sly shooter of men,anapaestic,swswswsw
new pleasures new prospects still burst on the view,anapaestic,wsswswswsws
for then you are safe and may plead you're elect,anapaestic,wswwswswsws
nor allen her loss shall bemoan,anapaestic,wswswsws
till the voice that we love ever closing the strain,anapaestic,wwswswswswsw
to be envy'd or slav'd in so vain a pursuit,anapaestic,wwswswswswsw
written for and adapted to an original indian air,anapaestic,swswswswswsswswsw
and no matron complain that a husband's unkind,anapaestic,swsswswwswsw
or the grain that rich sicily yields,anapaestic,wswswswsw
to fds factories district schools and the malls,anapaestic,wswswswswswsw
and old flint in the prospect now rises to view,anapaestic,wswswsswswsw
the blushes of morn and the mildness of may,anapaestic,wswswswswsw
but the nuts arent just there for the good of mankind,anapaestic,wswsswswwswsw
sworn vott'ries to love but undmindful of me,anapaestic,wswswswswsw
i enrolled in a college to study part time,anapaestic,swswwsswswsw
i wrote poems and painted whenever i could,anapaestic,swsswswswwsw
whilst unsung is my fair charlotte lynes,anapaestic,swswswsws
i own when i thought i should see him nae mair,anapaestic,wswswswswsw
for when he is railing his dear shall rail too,anapaestic,wswwswswsws
an' never ance try to look like mysel mair,anapaestic,wsswswswsws
and if you approve it you may add some perfume,anapaestic,wwswswwswsws
and a taylor for peeping paid damnably dear,anapaestic,wwswswswswsw
from the constant good fare of another man's board,anapaestic,wwswswswswsw
the frowns of a sky so severe,anapaestic,wswswsws
why shou'd you expect it of me,anapaestic,swswswsw
count how many sands on the shore,anapaestic,swswswsw
the dreams of a chymist and schemes of projectors,anapaestic,wswwswswswsw
you might leave me to guess by your blushing,anapaestic,swswswswsw
i pat on my speckets to see them aw prance,anapaestic,wswwswswsws
from the fears of a jail and the hopes of a pension,anapaestic,wswswswwswwsw
and her bosom be sure is as cold,anapaestic,swswswsws
do you ask me how many i'd have,anapaestic,wswswswsw
the apartments not small nor monstrously great,anapaestic,wswswswswsw
in spight of my courage it sets me a sighing,anapaestic,wswwswswswsw
come and join in my amorous lays,anapaestic,wswswswsw
and by solitude fed his disease,anapaestic,swswswsws
with her modesty pleases the grave,anapaestic,wwsswswsw
if it hurts her beside can it ever hurt me,anapaestic,wswswswwswsw
with the confidence born of a spirit secure,anapaestic,wwswswswssws
with the torture of doubt and desire,anapaestic,swswswswsw
for sylvia tho' alter'd from pretty to plain,anapaestic,wswswswswwsw
where the citizenmatron regales with her cuckold,anapaestic,wwswswswswwsw
and their wings flash in time,anapaestic,wswsws
the third he with plenty and quiet was cloy'd,anapaestic,wswswswswsw
but never shall enter the pass of my heart,anapaestic,wsswswswsws
not the women alone were scar'd at my fate,anapaestic,swsswswswsw
let them rail at the fruit they can't reach like the fox,anapaestic,wswswswswsws
affairs at this crisis and doctors come down,anapaestic,wswswswswsw
from dinner she rose with her bumper in hand,anapaestic,wswswswswsw
'twas only that when he was off he was acting,anapaestic,wswswswwswsw
with their fleeces besprinkled with snow,anapaestic,wwsswswsw
from norah dear norah the theme of his song,anapaestic,wswswswswsw
while i have the lass with the golden locks,anapaestic,wswswswsws
be sure wed a woman you thoroughly know,anapaestic,swswsswswsw
the ills that hang o'er us what sighs can prevent,anapaestic,wswswwswsws
let us carelesly strole o'er the lands,anapaestic,swswswsw
he the saintship resum'd and new larded his tail,anapaestic,wwswswswswsw
for morn shall return all your charms to restore,anapaestic,swswswswsws
i still shall be craving for more,anapaestic,wswwswsw
and from ills by their art how can wretches be freed,anapaestic,wswswswwswsw
no pedant yet learned nor rakehelly gay,anapaestic,wswswswsws
yet still his fond wish would arise,anapaestic,wswswsws
the breeze that so sweet on its bosom did play,anapaestic,wswswswswsw
a cow in my yard and a nag in my stable,anapaestic,wswswswswwsw
in counsel there's safety e'en send for another,anapaestic,wswsswsswswsw
it brings that that's bypast and sets it down here,anapaestic,wswwswswsws
hope redden her cheek then it blanch'd with chill fear,anapaestic,wswswswswsw
my love both his teeth and his scythe shall defy,anapaestic,wswswswswsw
he was could he help it a special attorney,anapaestic,wswswswsswsw
tou ploughs and tou sows and tou reaps man,anapaestic,swswswsws
or next winter perhaps is the last of their date,anapaestic,wswswswwswsw
avert the portent a woman not speak,anapaestic,wswswswsws
now i see there's some good in good books to be found,anapaestic,wswswswswsws
overspread with its branches and shade,anapaestic,swswswsws
and the swain been quite happy with what,anapaestic,wswswswsw
their young learn these and so do i,anapaestic,wswswsws
lost it seems t' other day the two doves,anapaestic,swswswswsw
drink water quoth william had all men done so,anapaestic,wswswswswsw
to numbers i'll ne'er be confin'd,anapaestic,wswswsws
no more slutters my heart when i meet with your eyes,anapaestic,swsswswwswsw
that reigns in my bosom to day,anapaestic,wswwswsw
and procur'd a full sentence against his old kate,anapaestic,swswswswswsw
are samples she gives of her trade,anapaestic,wswswsws
turn from legends and nonsense to see a gay sight,anapaestic,swsswswswsws
no nonsense of parsons or methodists sour,anapaestic,wswswswswsw
and methinks i'm inclin'd,anapaestic,wswsws
embarrassed is a family clan,anapaestic,wswswswsw
but alas recollection at hand,anapaestic,wswswswsw
that flies in the night,anapaestic,wswsw
as a sheet all the roads were with snows overspread,anapaestic,wwswwswswsws
to endure such an absence as theirs,anapaestic,swswswsws
so your poems will be,anapaestic,wwswsw
the next day at noon in the wyndham we sail,anapaestic,wswswswswsw
which must heighten the plagues of for better for worse,anapaestic,wwswswswswsw
n now breaking a jest and now breaking a limb,anapaestic,swswswswswsw
but bramble prevail'd and was duly elected,anapaestic,wswswswswssw
i stole from her hand a sweet kiss,anapaestic,wswswsws
an' i'll hae some pearlings to make mysel fine,anapaestic,wwswswswsws
if it tears up one record of blissful old times,anapaestic,wswswsswswsw
an inconstant i leave a true lover you lose,anapaestic,swswswswswsw
but remember the lass on the brow of the hill,anapaestic,swswswswswsw
'tis ella the lost undone maid,anapaestic,wsswswsw
through many a turbulent year,anapaestic,wsswswsw
like a resolute peace in each country on earth,anapaestic,wwswswswswsw
his droll little mouth was drawn up like a bow,anapaestic,swsswswswsw
time there was when it seemed our asset,anapaestic,wswswswsw
to possession alone let thy thoughts be confin'd,anapaestic,swsswswswsws
as the worst ways were past so but small was our fear,anapaestic,wswswswwswsw
the hot fire of this flames flambeau,anapaestic,swswswsws
their credit thereby and their trade to retrieve,anapaestic,wsswswswsws
and he spak what he thout for i'd hardly a plack,anapaestic,wswswswwswsw
at noon in the shade help her chaplets to weave,anapaestic,wswswswswsw
this exchange should they make it would set 'em both right,anapaestic,swswwswwswsw
so enchanted was sun by queen sea,anapaestic,swswswsws
at st alban's i din'd with a laughing gay crew,anapaestic,swswswswswsw
what though she is rural and best loves the grove,anapaestic,wswwswswsws
to a heart which dear chloe is thine,anapaestic,wswswswsw
for if life is a jest as the wisest have spoke,anapaestic,wswswswwswsw
she's peevish she's thievish she's ugly she's old,anapaestic,wswswswswsw
he went to sleep so happy im not useless after all,anapaestic,wswswswswswsws
with an aspect deceitfully fair,anapaestic,wwsswswsw
to bring down a wife whom the swains might admire,anapaestic,wswwswswsws
the sweet joys departed the friends left behind,anapaestic,swswswswsws
but alas on the morrow how dismal the sight,anapaestic,swswwsswswsw
ah sure 'tis the bus'ness of life,anapaestic,swswswsw
now her damon is pleasing no more,anapaestic,swswswsws
and murmuring seems to repeat,anapaestic,wswswsws
every promise and vow that he said,anapaestic,sswswswsws
at the end of my rainbow no treasure for me,anapaestic,wswswswswsww
and bosom'd a friend in my care,anapaestic,wswswsws
that may is the mother of love,anapaestic,wswwswsw
your la'ships have form'd many such in the air,anapaestic,wswswswswsw
and to peace and good humour bid open defiance,anapaestic,wswswswwsswsw
fleeting shadows they seem that glide calmly away,anapaestic,swswswswswsw
and let no single beauty escape,anapaestic,wswswswsw
when the woodpigeons sit on the branches and cooe,anapaestic,wwswswswswsw
and rather than do such a naughty affair,anapaestic,wswswswswsw
can his mercy approve a selfpunishing sect,anapaestic,wwswsswswsws
now bangor we reach oh if e'er thou hadst fame,anapaestic,wswswswswsw
what joy would i say can these beauties bestow,anapaestic,wswswswswsw
where dad weaves magic like a goon,anapaestic,wswswsws
did not israel filch from the egyptians of old,anapaestic,wwswswswswsw
old pluto had puzzled his brain,anapaestic,wswswsws
to cyprus to paphos they run,anapaestic,wsswswsw
and there lay the steed with his nostril all wide,anapaestic,wswswswswsw
'twas no longer for beauty he sigh'd,anapaestic,swswswsws
at the close of the day when the hamlet is still,anapaestic,wswswswwswsw
as times will allow and your honour thinks meet,anapaestic,swswswwswsw
i wish he would phillis forget,anapaestic,wswwssws
for if she shou'd die folks will make a strange pother,anapaestic,wwswswswswsw
that nature marks this for the season to wooe,anapaestic,wswswswswsw
together we'll lease o'er the field,anapaestic,wswswsws
for to view the stag's horns in an old country hall,anapaestic,wswswswswsws
when i think of my own native land,anapaestic,swswswsws
till weary at last with inferior disasters,anapaestic,wswswswsswsw
they'll both knock down conkers for children to find,anapaestic,wswswswswsw
with a portugal merchant a knight by creation,anapaestic,wwswsswswswsw
and the swift winged arrows of light,anapaestic,wwswswsw
his client's his care and he follows his trade,anapaestic,wswswswswsw
with the nymph whom i love and admire,anapaestic,swswswsws
he began to see visions his head it turn'd round,anapaestic,wswswsswswsw
but vainly i gaze the wide prospect around,anapaestic,wswswswssws
fall the leaves of the forest tho death has yet passed,anapaestic,wswswswswsws
he plans to fill his sisters bag,anapaestic,wswswsws
had taken too freely the cheeruping cup,anapaestic,wswswswsswsw
and im proud to display both my strength and physique,anapaestic,wswswswswsws
stanzas are neat if they get the right beat,anapaestic,swswswswsw
for such is of lovers the doom,anapaestic,wwswswsw
with submission i speak to your rev'rence's tail,anapaestic,swsswswswsws
those primitive curses put in for a share,anapaestic,wsswswswsws
the master of christ,anapaestic,wswsw
the pride of that valley is flown,anapaestic,wswwswsw
in a croud round the embers are met,anapaestic,wswswswsw
